"Well","A","B","Tm","invT","Helix","Condition"
"C2",202.833472670699,800,42.2040831681582,0.00317103869388228,"H","NTPCM"
"C3",202.833472670699,600,41.5687539113514,0.00317744013526971,"H","NTPCM"
"C4",202.833472670699,400,40.4071454086486,0.00318921132764088,"H","NTPCM"
"C5",202.833472670699,250,38.9339869222923,0.00320426565253089,"H","NTPCM"
"C6",202.833472670699,200,38.6172209569469,0.00320752129403012,"H","NTPCM"
"C7",202.833472670699,150,38.7761360764765,0.00320588717758112,"H","NTPCM"
"C8",202.833472670699,100,39.1984687333734,0.00320155243294507,"H","NTPCM"
"D1",171.562132907706,1000,67.1261783807307,0.00293878932330406,"I","NTPCM"
"D2",171.562132907706,800,66.8093720856557,0.00294152796513591,"I","NTPCM"
"D3",171.562132907706,600,66.0153328545946,0.00294841454338352,"I","NTPCM"
"D4",171.562132907706,400,64.9065247383784,0.00295808519233255,"I","NTPCM"
"D5",171.562132907706,250,63.2193775987688,0.00297292222954026,"I","NTPCM"
"D6",171.562132907706,200,62.6386399956356,0.00297806382018462,"I","NTPCM"
"D7",171.562132907706,150,62.4795564448148,0.00297947537932173,"I","NTPCM"
"D8",171.562132907706,100,61.8988490415816,0.00298463941261262,"I","NTPCM"
"D9",171.562132907706,50,62.1628203059159,0.00298228978864473,"I","NTPCM"
"E1",171.562132907706,1000,67.4429846758058,0.00293605577622761,"I","NTPCM"
"E2",171.562132907706,800,66.7565710364765,0.00294198490176492,"I","NTPCM"
"E3",171.562132907706,600,66.2265344005405,0.00294657967960677,"I","NTPCM"
"E4",171.562132907706,400,64.9593251248649,0.00295762324695037,"I","NTPCM"
"E5",171.562132907706,250,63.0609946160961,0.00297432271999866,"I","NTPCM"
"E6",171.562132907706,200,62.4274626854054,0.00297993790166258,"I","NTPCM"
"E7",171.562132907706,150,62.3211816984785,0.00298088197900349,"I","NTPCM"
"E8",171.562132907706,100,62.2155985342542,0.00298182045019105,"I","NTPCM"
"E9",171.562132907706,50,62.2684165346847,0.00298135090592616,"I","NTPCM"
"F1",171.562132907706,1000,67.0205762823724,0.00293970163712781,"I","NTPCM"
"F2",171.562132907706,800,66.7037699872973,0.00294244198037696,"I","NTPCM"
"F3",171.562132907706,600,66.1209336275676,0.00294749682593718,"I","NTPCM"
"F4",171.562132907706,400,64.8009239654054,0.00295900951613426,"I","NTPCM"
"F5",171.562132907706,250,63.8001152019019,0.00296779836208335,"I","NTPCM"
"F6",171.562132907706,200,62.480257012963,0.00297946916019963,"I","NTPCM"
"F7",171.562132907706,150,62.4267648627027,0.00297994409836193,"I","NTPCM"
"F8",171.562132907706,100,62.1628069521421,0.0029822899074139,"I","NTPCM"
"F9",171.562132907706,50,63.4827731655255,0.002970596090798,"I","NTPCM"
"A1",232.932412505161,1000,46.3771483225626,0.00312962452564594,"J","NTPCM"
"A2",232.932412505161,800,45.3211803545946,0.0031400015501766,"J","NTPCM"
"A3",232.932412505161,600,44.8435605027928,0.00314471776855751,"J","NTPCM"
"A4",232.932412505161,400,43.6819999034935,0.00315624684471454,"J","NTPCM"
"A5",232.932412505161,250,42.7859756575075,0.00316519825866256,"J","NTPCM"
"A6",232.932412505161,200,42.5747835786286,0.00316731549758417,"J","NTPCM"
"A7",232.932412505161,150,42.5227570335536,0.00316783750804859,"J","NTPCM"
"A8",232.932412505161,100,42.681157340971,0.00316624872738696,"J","NTPCM"
"B1",232.932412505161,1000,46.4827451193594,0.00312859059426647,"J","NTPCM"
"B2",232.932412505161,800,45.637970744985,0.00313688122441719,"J","NTPCM"
"B3",232.932412505161,600,44.7907622937337,0.00314523998994548,"J","NTPCM"
"B4",232.932412505161,400,43.6292016944344,0.0031567729025487,"J","NTPCM"
"B5",232.932412505161,250,42.6275815983483,0.00316678592235197,"J","NTPCM"
"B6",232.932412505161,200,42.5747835786286,0.00316731549758417,"J","NTPCM"
"B7",232.932412505161,150,42.5227570335536,0.00316783750804859,"J","NTPCM"
"B8",232.932412505161,100,42.7339574434434,0.00316571948792,"J","NTPCM"
"C1",232.932412505161,1000,46.5883419161562,0.00312755734581943,"J","NTPCM"
"C2",232.932412505161,800,45.4795755497898,0.00313844061171822,"J","NTPCM"
"C3",232.932412505161,600,44.7907622937337,0.00314523998994548,"J","NTPCM"
"C4",232.932412505161,400,43.6819999034935,0.00315624684471454,"J","NTPCM"
"C5",232.932412505161,250,42.8387736772272,0.00316466939113941,"J","NTPCM"
"C6",232.932412505161,200,42.5219855589089,0.0031678452499656,"J","NTPCM"
"C7",232.932412505161,150,42.5227570335536,0.00316783750804859,"J","NTPCM"
"C8",232.932412505161,100,42.7339574434434,0.00316571948792,"J","NTPCM"
"A1",209.690570549976,1000,50.2304856456456,0.00309233254444358,"G","WMCM"
"A2",209.690570549976,800,49.7553000600601,0.00309688320326115,"G","WMCM"
"A3",209.690570549976,600,49.435750208961,0.00309995094126827,"G","WMCM"
"A4",209.690570549976,400,49.0133251535055,0.00310401564027661,"G","WMCM"
"A5",209.690570549976,250,48.2263557412773,0.00311161658950743,"G","WMCM"
"A8",209.690570549976,100,49.0161546705105,0.0031039883783656,"G","WMCM"
"B1",209.690570549976,1000,50.0192920520521,0.00309435340731239,"G","WMCM"
"B2",209.690570549976,800,49.9664936536537,0.00309485903579993,"G","WMCM"
"B3",209.690570549976,600,49.2245376812332,0.00310198195922287,"G","WMCM"
"B4",209.690570549976,400,48.4852938341862,0.00310911152839941,"G","WMCM"
"B5",209.690570549976,250,48.0151897915195,0.00311366247584035,"G","WMCM"
"B6",209.690570549976,200,48.7014791282322,0.00310702316083369,"G","WMCM"
"B7",209.690570549976,150,48.4881953009009,0.00310908348140828,"G","WMCM"
"B8",209.690570549976,100,49.0161546705105,0.0031039883783656,"G","WMCM"
"C1",209.690570549976,1000,49.7025016616617,0.00309738965890983,"G","WMCM"
"C2",209.690570549976,800,49.3329128728729,0.00310093949192965,"G","WMCM"
"C3",209.690570549976,600,49.2245376812332,0.00310198195922287,"G","WMCM"
"C4",209.690570549976,400,48.5380969661181,0.00310860118677417,"G","WMCM"
"C5",209.690570549976,250,48.0151897915195,0.00311366247584035,"G","WMCM"
"C6",209.690570549976,200,48.2791472287167,0.00311110553794438,"G","WMCM"
"C7",209.690570549976,150,48.6993790487447,0.00310704343427846,"G","WMCM"
"C8",209.690570549976,100,48.6465831117838,0.00310755319503385,"G","WMCM"
"D1",189.672643748737,1000,67.760163877045,0.00293332410106924,"I","WMCM"
"D2",189.672643748737,800,67.2321675858739,0.0029378742344007,"I","WMCM"
"D3",189.672643748737,600,66.6512805924004,0.00294289650191026,"I","WMCM"
"D4",189.672643748737,400,65.5425619400521,0.00295253014790741,"I","WMCM"
"D5",189.672643748737,250,64.7513447495015,0.0029594436824196,"I","WMCM"
"D6",189.672643748737,200,64.4873877856577,0.00296175730584324,"I","WMCM"
"D7",189.672643748737,150,64.1157524063103,0.00296502088594896,"I","WMCM"
"D8",189.672643748737,100,64.1157524063103,0.00296502088594896,"I","WMCM"
"E1",189.672643748737,1000,68.1297612808649,0.00293014738479328,"I","WMCM"
"E2",189.672643748737,800,67.4433661023424,0.002936052488173,"I","WMCM"
"E3",189.672643748737,600,66.9680573502142,0.00294015556771899,"I","WMCM"
"E4",189.672643748737,400,66.0705232030751,0.00294793484355706,"I","WMCM"
"E5",189.672643748737,250,64.9625103205766,0.00295759538460101,"I","WMCM"
"E6",189.672643748737,200,64.3290136073514,0.00296314721709918,"I","WMCM"
"E7",189.672643748737,150,64.2741620861181,0.00296362890498867,"I","WMCM"
"E8",189.672643748737,100,64.5909814457337,0.002960848860329,"I","WMCM"
"E9",189.672643748737,50,61.2117139197117,0.0029907730411985,"I","WMCM"
